[2013-02-18 00:14:02] alexglow, joining. (#appium)
[2013-02-18 00:57:36] davidko, joining. (#appium)
[2013-02-18 01:11:59] davidko, quitting. (Quit: davidko)
[2013-02-18 01:17:26] alexglow, quitting. (Ping timeout: 255 seconds)
[2013-02-18 06:12:11] aluclinux, joining. (#appium)
[2013-02-18 06:24:34] aluclinux, leaving. (#appium)
[2013-02-18 06:37:25] smccarthy, joining. (#appium)
[2013-02-18 09:31:04] github-appium, joining. (#appium)
[2013-02-18 09:31:05] github-appium: [appium] bootstraponline opened pull request #195: Fix null check (master...fix_null)  https://github.com/appium/appium/pull/195
[2013-02-18 09:31:05] github-appium, leaving. (#appium)
[2013-02-18 09:36:08] alexglow, joining. (#appium)
[2013-02-18 09:59:13] sassda, joining. (#appium)
[2013-02-18 10:09:20] sassda, quitting. (Quit: Leaving.)
