[2013-03-14 00:17:47] github-appium, joining. (#appium)
[2013-03-14 00:17:48] github-appium: [appium] bootstraponline opened pull request #267: Improve fast reset (master...master)  http://git.io/5-yoeA
[2013-03-14 00:17:48] github-appium, leaving. (#appium)
[2013-03-14 01:02:33] stackedsax, quitting. (Quit: Leaving.)
[2013-03-14 08:16:04] sdaniel, joining. (#appium)
[2013-03-14 08:19:14] sdaniel1, joining. (#appium)
[2013-03-14 08:20:24] sdaniel, quitting. (Ping timeout: 252 seconds)
[2013-03-14 08:20:58] sdaniel, joining. (#appium)
[2013-03-14 08:23:15] sdaniel, quitting. (Client Quit)
[2013-03-14 08:23:38] sdaniel1, quitting. (Ping timeout: 252 seconds)
[2013-03-14 08:31:13] danc1, joining. (#appium)
[2013-03-14 08:36:05] smccarthy, joining. (#appium)
[2013-03-14 08:45:29] stackedsax, joining. (#appium)
[2013-03-14 08:50:49] stackedsax, quitting. (Quit: Leaving.)
[2013-03-14 09:22:37] fpotter, quitting. (Ping timeout: 256 seconds)
[2013-03-14 09:31:42] davidko, joining. (#appium)
[2013-03-14 09:50:46] sassda, joining. (#appium)
[2013-03-14 09:51:26] stackedsax, joining. (#appium)
[2013-03-14 09:59:33] fpotter, joining. (#appium)
